"name" "state" "prop" "gene.size"
"1" "CG11023" 5 0.518533604887984 1955
"2" "l(2)gl" 20 0.24774148714385 11537
"3" "Ir21a" 8 0.612995824634656 3332
"4" "CR43609" 8 0.628725314183124 2285
"5" "Cda5" 13 0.399563495271199 40002
"6" "CR46254" 13 1 950
"7" "CR45339" 6 1 243
"8" "CR45340" 6 1 206
"9" "dbr" 6 0.30935650887574 4908
"10" "CR44987" 19 0.584774037003336 2797
"11" "galectin" 13 0.613847396043601 4454
"12" "CG11374" 13 0.8 1435
"13" "net" 6 0.431759970728138 4966
"14" "Zir" 3 0.448706512042819 7347
"15" "CG11377" 3 0.461096374889478 1762
"16" "Nhe1" 3 0.459633027522936 2770
"17" "Sam-S" 13 0.511396188815544 7529
"18" "ND-15" 13 0.247033776672089 41304
"19" "CG13694" 12 0.650030807147258 1123
"20" "CG4822" 8 0.2778198334595 4784
"21" "CG3164" 13 0.452290296527057 8167
"22" "CR44969" 17 1 1194
"23" "Gs1" 13 0.763385146804836 2395
"24" "CR44185" 19 0.590538336052202 726
"25" "CR44186" 19 0.62724692526017 557
"26" "CG31975" 8 0.350707850707851 2608
"27" "CG31976" 8 0.350707850707851 2608
"28" "CG31974" 17 0.355608591885442 2014
"29" "CG11454" 17 0.634615384615385 904
"30" "CG42399" 12 0.259588253736023 9069
"31" "CG3709" 4 0.611209179170344 1766
"32" "CG3436" 17 0.813757604117922 1637
"33" "CG33635" 17 0.72816265060241 828
"34" "spen" 13 0.263323303243063 44365
"35" "mRpL10" 3 0.52960745176314 1003
"36" "CG11617" 11 0.41781270464964 2554
"37" "Tbc1d15-17" 3 0.36035590706871 3546
"38" "kis" 3 0.237804277126244 40088
"39" "CR44220" 13 1 399
"40" "CR44222" 13 1 1189
"41" "CR44221" 12 0.621313035204567 551
"42" "snoRNA:kis-a" 3 1 87
"43" "CG13693" 4 0.714993246285457 1721
"44" "mir-965" 11 1 106
"45" "CR44218" 11 1 903
"46" "Rpp30" 17 0.541984732824427 1334
"47" "CG3645" 10 0.259816250064158 19155
"48" "CG17075" 9 0.391633565044687 7556
"49" "CR44219" 9 0.693076923076923 800
"50" "CG3345" 7 0.444700460829493 2538
"51" "mbm" 12 0.696482848458532 1803
"52" "CG11555" 11 0.694405594405594 930
"53" "CG17078" 12 0.33999494055148 3494
"54" "smo" 3 0.491445427728614 4585
"55" "CG11601" 11 0.649833253930443 1599
"56" "CG3625" 17 0.455443322109989 8410
"57" "CR46262" 17 1 448
"58" "CR46263" 17 0.440016604400166 1909
"59" "Amnionless" 13 0.35994983277592 1892
"60" "CG11562" 17 0.651573292402149 803
"61" "U2af38" 11 0.558405863490609 1722
"62" "Hop" 17 0.592147152458437 2327
"63" "Pi3K21B" 12 0.401629950337451 7353
"64" "Plc21C" 10 0.219708130006445 49631
"65" "CR43719" 19 0.348588863463005 811
"66" "CG11912" 18 0.763063707945598 897
"67" "CG11911" 18 0.607215793056501 969
"68" "CG33127" 18 0.739597315436242 990
"69" "CG43755" 10 0.491875923190547 4239
"70" "CG31921" 2 0.763418803418803 2425
"71" "Ent1" 3 0.584193663225347 2309
"72" "CR45367" 3 1 1228
"73" "CR45366" 11 1 845
"74" "al" 20 0.524676910552559 9327
"75" "CR43718" 20 1 451
"76" "CG4213" 8 0.400950352285761 5603
"77" "RpI135" 3 0.525812619502868 3684
"78" "AP-2alpha" 3 0.486684145163516 6747
"79" "ebi" 3 0.524313429075334 3469
"80" "CG13690" 11 0.431315483119907 1218
"81" "RpLP1" 13 0.575779036827195 912
"82" "CG11885" 13 1 555
"83" "CG13692" 7 1 718
"84" "BBS8" 10 0.33989145183175 2448
"85" "ex" 13 0.310337153666407 17474
"86" "CR43717" 6 1 565
"87" "crq" 13 0.331878557874763 4770
"88" "CG4164" 17 0.502443792766373 1546
"89" "CR43080" 11 1 559
"90" "CG4133" 13 0.40495422724825 3214
"91" "CG4297" 13 0.393518518518519 13324
"92" "MED15" 3 0.457478807765928 3157
"93" "ush" 20 0.309315237507711 64340
"94" "cbt" 13 0.516034206306788 3242
"95" "CR46258" 14 0.649092480553155 1814
"96" "CR46259" 5 0.705850778314546 1363
"97" "lwr" 11 0.37565497783152 1981
"98" "Spp" 12 0.493451626531474 1867
"99" "Ets21C" 14 0.435867262885385 7998
"100" "nAChRbeta3" 20 0.617754357519254 1967
"101" "rempA" 14 0.295415959252971 6568
"102" "Tspo" 13 0.637845499645641 911
"103" "CG11835" 12 0.248200479872034 3251
"104" "CG2794" 12 0.532929868280527 2309
"105" "Nle" 12 0.741019955654102 1755
"106" "CG2807" 4 0.389579632918887 4567
"107" "Ipk2" 12 0.715193529751589 1231
"108" "cold" 12 1 1443
"109" "Ptth" 20 0.383416458852868 1185
"110" "Pph13" 5 0.956301209520094 2063
"111" "Gsc" 20 0.552880034647033 11145
"112" "CR46148" 20 1 736
"113" "CG13689" 10 0.683986773736419 1617
"114" "CR43648" 10 0.731462925851703 498
"115" "CR43649" 8 0.530911901081917 794
"116" "lectin-21Cb" 8 0.607982893799002 903
"117" "CR44797" 1 0.402646502835539 558
"118" "CR44798" 15 1 423
"119" "lectin-21Ca" 15 0.789437109103544 939
"120" "CG2839" 9 0.707349081364829 2548
"121" "CR45369" 10 0.566221142162819 323
"122" "ds" 13 0.227251577631082 74970
"123" "CR44988" 13 0.86161481198702 4739
"124" "CR46260" 18 0.796296296296296 2848
"125" "Hsp60B" 16 0.464470762398224 2202
"126" "Eaat2" 15 0.287908369126643 7183
"127" "GABA-B-R3" 9 0.372857804539138 12454
"128" "CR44614" 15 0.705282669138091 579
"129" "CG12506" 15 0.594845360824742 470
"130" "CG13946" 15 0.647513812154696 405
"131" "CG13947" 10 1 482
"132" "Gr21a" 8 0.451601791250431 2403
"133" "CG3544" 2 0.363312368972746 4440
"134" "Pkg21D" 8 0.407437185929648 4645
"135" "CR45259" 9 1 467
"136" "Nnf1b" 9 0.662998624484182 954
"137" "Dbp21E2" 12 0.622822299651568 1796
"138" "Saf6" 12 0.641262755102041 2636
"139" "Pex12" 12 0.41260084517864 2103
"140" "CG15880" 12 0.471153846153846 956
"141" "CG3876" 3 0.569206842923795 1429
"142" "Clp" 17 1 1245
"143" "CG3662" 17 0.874295377677565 3048
"144" "CG3862" 17 1 1532
"145" "dock" 17 0.592897581060216 7272
"146" "drongo" 13 0.360649357869572 17487
"147" "CR44060" 11 1 461
"148" "CG4291" 17 0.536129358261748 1479
"149" "kraken" 17 0.488331131660062 1771
"150" "CG13949" 12 0.449500554938957 1302
"151" "CR45345" 18 1 392
"152" "mir-375" 18 1 90
"153" "CG13950" 12 0.530796194291437 1497
"154" "aru" 17 0.375607663711753 6505
"155" "snoRNA:Me28S-U1230" 13 0.505582137161085 127
"156" "dbe" 17 0.846199524940618 1184
"157" "PNUTS" 12 0.583627880672982 6573
"158" "CG15824" 2 0.461329554847089 7969
"159" "ninaA" 4 0.731607629427793 968
"160" "CR45348" 16 0.731084776663628 597
"161" "Lsp1beta" 2 0.336851628468034 2816
"162" "snRNA:U1:21D" 1 0.577677224736048 163
"163" "CR45261" 10 0.537897310513447 318
"164" "CR44061" 10 1 324
"165" "GluRIIC" 2 0.488741407916568 3719
"166" "CG4341" 10 0.507945817623237 35305
"167" "CR44801" 10 0.381258023106547 3401
"168" "IA-2" 15 0.24614120693089 39675
"169" "CG4375" 15 1 792
"170" "CG4415" 2 0.507993811242909 1439
"171" "S" 15 0.199329632345239 28141
"172" "ast" 4 0.578837555886736 2855
"173" "Atg4a" 12 0.324210102636345 4469
"174" "CG4629" 9 0.280721136945714 19413
"175" "mtRNApol" 3 0.537106246663107 5119
"176" "CG14339" 8 0.585947571981091 4154
"177" "CG14340" 10 0.51797289334119 1197
"178" "Pino" 19 0.602135279410771 14299
"179" "CG4552" 12 0.755215577190542 3095
"180" "Iris" 7 0.363636363636364 1766
"181" "CG4577" 10 0.633347694959069 6463
"182" "CR45717" 12 0.538370720188902 347
"183" "MFS3" 11 0.266084363016617 4194
"184" "CG4749" 12 0.692524682651622 1627
"185" "Tfb4" 11 0.692263279445728 1232
"186" "Vps29" 17 0.453938584779706 998
"187" "capt" 3 0.290937323546019 6584
"188" "CR43767" 17 0.510555121188428 779
"189" "Tango14" 12 0.598834385624089 1559
"190" "CG5080" 4 0.289794921875 3596
"191" "IntS14" 12 0.71273166800967 1982
"192" "CG14341" 17 0.726970954356846 705
"193" "Plap" 3 0.417275927430273 3193
"194" "CG31922" 17 0.679602888086643 608
"195" "CG5118" 17 0.621473354231975 2052
"196" "CG4887" 3 0.370209403397866 4580
"197" "CG4896" 3 0.417374517374517 4764
"198" "CG5126" 3 0.522717049032839 1723
"199" "Tgt" 19 0.644631973745898 1633
"200" "CG5001" 11 0.25591267434809 11050
"201" "CG5139" 8 0.4619523443505 801
"202" "CG43348" 8 1 512
"203" "CG43349" 8 1 458
"204" "CG5011" 8 0.668255481410868 549
"205" "CG14342" 16 0.804560260586319 1035
"206" "CR45346" 15 1 644
"207" "CR43263" 1 1 931
"208" "CG42329" 9 0.355434168393294 10509
"209" "CG5397" 18 0.281447443997702 2982
"210" "robo3" 10 0.321885985397871 40179
"211" "a5" 8 0.578078078078078 832
"212" "CG5440" 10 0.575821845174973 1386
"213" "CG33923" 9 0.520325203252033 730
"214" "CG33922" 10 0.439739413680782 728
"215" "Cdlc2" 15 0.529554655870445 735
"216" "CR45005" 10 1 339
"217" "CR45006" 10 1 366
"218" "CG5556" 8 0.542682926829268 1140
"219" "CG5561" 7 0.566809029896278 1139
"220" "CG31924" 8 0.676783004552352 818
"221" "CG5565" 8 0.553866490416391 1013
"222" "CG31659" 15 0.475457875457875 865
"223" "NLaz" 6 0.480676328502415 1984
"224" "CG14346" 15 0.404761904761905 1054
"225" "CR44898" 8 0.452094090648308 1243
"226" "robo2" 15 0.358286933699625 40367
"227" "CR44897" 8 0.478657074340528 1585
"228" "CG43401" 15 1 685
"229" "snRNA:U3:22A" 16 1 210
"230" "CG43402" 10 0.653958944281525 1205
"231" "CG31928" 7 0.493217054263566 1564
"232" "CG33128" 2 0.774125132555673 1386
"233" "CG31926" 7 0.802936996684036 1611
"234" "CG31661" 2 0.614673913043478 1340
"235" "CG18131" 2 0.360346777233321 2153
"236" "CG7420" 4 0.35763358778626 2120
"237" "CR44064" 10 0.244708311822406 3374
"238" "CG18132" 8 1 683
"239" "halo" 7 0.565022421524664 615
"240" "CG44072" 8 0.706916764361079 353
"241" "Or22a" 2 0.71659533999049 1665
"242" "Or22b" 8 0.772330097087379 1560
"243" "haf" 10 0.336166775645217 53275
"244" "CG10869" 8 0.503764790247401 2289
"245" "CG31935" 9 0.375408375408375 16335
"246" "CG14352" 12 0.626050420168067 1166
"247" "RFeSP" 17 0.458090542357687 1731
"248" "CR44603" 15 0.47919837645865 7384
"249" "CR45695" 14 1 231
"250" "chinmo" 20 0.322620309518762 53424
