"name" "state" "prop" "gene.size"
"1" "CG11023" 12 0.831364562118126 1955
"2" "l(2)gl" 20 0.24774148714385 11537
"3" "Ir21a" 2 0.536795407098121 3332
"4" "CR43609" 2 0.523877917414722 2285
"5" "Cda5" 14 0.316492873117237 40002
"6" "CR46254" 14 1 950
"7" "CR45339" 18 1 243
"8" "CR45340" 18 1 206
"9" "dbr" 18 0.30935650887574 4908
"10" "CR44987" 18 0.584774037003336 2797
"11" "galectin" 14 0.613847396043601 4454
"12" "CG11374" 14 0.8 1435
"13" "net" 15 0.438163190633004 4966
"14" "Zir" 5 0.448706512042819 7347
"15" "CG11377" 5 0.461096374889478 1762
"16" "Nhe1" 5 0.559021406727829 2770
"17" "Sam-S" 14 0.511396188815544 7529
"18" "ND-15" 14 0.258492010333939 41304
"19" "CG13694" 4 0.48120764017252 1123
"20" "CG4822" 9 0.2778198334595 4784
"21" "CG3164" 14 0.500173070266528 8167
"22" "CR44969" 18 0.465761511216057 1194
"23" "Gs1" 14 0.763385146804836 2395
"24" "CR44185" 15 0.590538336052202 726
"25" "CR44186" 15 0.62724692526017 557
"26" "CG31975" 2 0.274774774774775 2608
"27" "CG31976" 2 0.274774774774775 2608
"28" "CG31974" 17 0.355608591885442 2014
"29" "CG11454" 17 0.699430199430199 904
"30" "CG42399" 6 0.2530044936775 9069
"31" "CG3709" 4 0.611209179170344 1766
"32" "CG3436" 17 0.813757604117922 1637
"33" "CG33635" 17 0.72816265060241 828
"34" "spen" 14 0.261272707009919 44365
"35" "mRpL10" 5 0.52960745176314 1003
"36" "CG11617" 10 0.41781270464964 2554
"37" "Tbc1d15-17" 5 0.448344043499753 3546
"38" "kis" 5 0.237804277126244 40088
"39" "CR44220" 14 1 399
"40" "CR44222" 14 1 1189
"41" "CR44221" 11 1 551
"42" "snoRNA:kis-a" 5 1 87
"43" "CG13693" 4 0.714993246285457 1721
"44" "mir-965" 10 1 106
"45" "CR44218" 10 1 903
"46" "Rpp30" 17 0.541984732824427 1334
"47" "CG3645" 9 0.217779602730586 19155
"48" "CG17075" 7 0.391633565044687 7556
"49" "CR44219" 7 0.693076923076923 800
"50" "CG3345" 6 0.56221198156682 2538
"51" "mbm" 11 0.660877116804168 1803
"52" "CG11555" 10 0.694405594405594 930
"53" "CG17078" 11 0.363015431317986 3494
"54" "smo" 5 0.491445427728614 4585
"55" "CG11601" 10 0.649833253930443 1599
"56" "CG3625" 18 0.336812570145903 8410
"57" "CR46262" 17 1 448
"58" "CR46263" 18 0.631797426317974 1909
"59" "Amnionless" 19 0.331939799331104 1892
"60" "CG11562" 17 0.651573292402149 803
"61" "U2af38" 10 0.558405863490609 1722
"62" "Hop" 11 0.407852847541563 2327
"63" "Pi3K21B" 11 0.398828473194957 7353
"64" "Plc21C" 13 0.185019795598932 49631
"65" "CR43719" 15 0.585049580472921 811
"66" "CG11912" 19 0.763063707945598 897
"67" "CG11911" 19 0.607215793056501 969
"68" "CG33127" 19 0.739597315436242 990
"69" "CG43755" 13 0.508757121755645 4239
"70" "CG31921" 3 0.763418803418803 2425
"71" "Ent1" 5 0.584193663225347 2309
"72" "CR45367" 5 1 1228
"73" "CR45366" 10 1 845
"74" "al" 20 0.62165462501272 9327
"75" "CR43718" 20 1 451
"76" "CG4213" 2 0.488120596427986 5603
"77" "RpI135" 5 0.525812619502868 3684
"78" "AP-2alpha" 5 0.486684145163516 6747
"79" "ebi" 5 0.557823129251701 3469
"80" "CG13690" 10 0.431315483119907 1218
"81" "RpLP1" 14 0.575779036827195 912
"82" "CG11885" 14 1 555
"83" "CG13692" 6 0.603448275862069 718
"84" "BBS8" 10 0.496947082767978 2448
"85" "ex" 18 0.238900634249471 17474
"86" "CR43717" 15 1 565
"87" "crq" 18 0.397343453510436 4770
"88" "CG4164" 18 0.470185728250244 1546
"89" "CR43080" 14 0.620396600566572 559
"90" "CG4133" 14 0.485729671513193 3214
"91" "CG4297" 15 0.341290509259259 13324
"92" "MED15" 5 0.55701394585726 3157
"93" "ush" 20 0.353192473781616 64340
"94" "cbt" 14 0.516034206306788 3242
"95" "CR46258" 12 0.649092480553155 1814
"96" "CR46259" 12 0.705850778314546 1363
"97" "lwr" 11 0.703345425231761 1981
"98" "Spp" 11 0.493451626531474 1867
"99" "Ets21C" 12 0.584137444104495 7998
"100" "nAChRbeta3" 20 0.428050263477908 1967
"101" "rempA" 12 0.252971137521222 6568
"102" "Tspo" 14 0.637845499645641 911
"103" "CG11835" 9 0.413756331644895 3251
"104" "CG2794" 11 0.352794588821645 2309
"105" "Nle" 11 0.741019955654102 1755
"106" "CG2807" 4 0.40359186895599 4567
"107" "Ipk2" 11 0.518775274407857 1231
"108" "cold" 11 0.602676273803397 1443
"109" "Ptth" 9 0.450124688279302 1185
"110" "Pph13" 12 0.639094810768631 2063
"111" "Gsc" 20 0.552880034647033 11145
"112" "CR46148" 20 1 736
"113" "CG13689" 8 0.650921114785073 1617
"114" "CR43648" 8 0.731462925851703 498
"115" "CR43649" 9 0.524729520865533 794
"116" "lectin-21Cb" 9 0.607982893799002 903
"117" "CR44797" 9 0.527410207939509 558
"118" "CR44798" 13 1 423
"119" "lectin-21Ca" 13 0.789437109103544 939
"120" "CG2839" 7 0.707349081364829 2548
"121" "CR45369" 8 0.566221142162819 323
"122" "ds" 15 0.200962573065403 74970
"123" "CR44988" 14 0.86161481198702 4739
"124" "CR46260" 19 0.796296296296296 2848
"125" "Hsp60B" 16 0.569948186528497 2202
"126" "Eaat2" 8 0.322790576597683 7183
"127" "GABA-B-R3" 7 0.271267562142967 12454
"128" "CR44614" 13 0.705282669138091 579
"129" "CG12506" 16 0.603092783505155 470
"130" "CG13946" 16 0.559116022099448 405
"131" "CG13947" 8 1 482
"132" "Gr21a" 9 0.451601791250431 2403
"133" "CG3544" 3 0.394339622641509 4440
"134" "Pkg21D" 2 0.258693467336683 4645
"135" "CR45259" 7 1 467
"136" "Nnf1b" 7 0.662998624484182 954
"137" "Dbp21E2" 11 0.622822299651568 1796
"138" "Saf6" 11 0.641262755102041 2636
"139" "Pex12" 11 0.482135996926623 2103
"140" "CG15880" 11 0.471153846153846 956
"141" "CG3876" 5 0.765163297045101 1429
"142" "Clp" 17 1 1245
"143" "CG3662" 17 0.874295377677565 3048
"144" "CG3862" 17 1 1532
"145" "dock" 17 0.269943386515697 7272
"146" "drongo" 14 0.396842163784956 17487
"147" "CR44060" 10 1 461
"148" "CG4291" 17 0.536129358261748 1479
"149" "kraken" 17 0.488331131660062 1771
"150" "CG13949" 11 0.449500554938957 1302
"151" "CR45345" 19 1 392
"152" "mir-375" 19 1 90
"153" "CG13950" 11 0.57886830245368 1497
"154" "aru" 18 0.328424363740349 6505
"155" "snoRNA:Me28S-U1230" 14 0.505582137161085 127
"156" "dbe" 17 0.846199524940618 1184
"157" "PNUTS" 11 0.583627880672982 6573
"158" "CG15824" 3 0.451883339237218 7969
"159" "ninaA" 4 0.731607629427793 968
"160" "CR45348" 16 1 597
"161" "Lsp1beta" 3 0.526839565741858 2816
"162" "snRNA:U1:21D" 2 0.577677224736048 163
"163" "CR45261" 13 0.537897310513447 318
"164" "CR44061" 8 1 324
"165" "GluRIIC" 2 0.445366200521451 3719
"166" "CG4341" 8 0.410752688172043 35305
"167" "CR44801" 16 0.539409499358152 3401
"168" "IA-2" 8 0.303624775941048 39675
"169" "CG4375" 13 1 792
"170" "CG4415" 2 0.531717380092831 1439
"171" "S" 13 0.196571348765755 28141
"172" "ast" 4 0.578837555886736 2855
"173" "Atg4a" 19 0.255182129201046 4469
"174" "CG4629" 14 0.239090041681314 19413
"175" "mtRNApol" 5 0.537106246663107 5119
"176" "CG14339" 3 0.371938117748174 4154
"177" "CG14340" 19 0.624631703005303 1197
"178" "Pino" 18 0.663288060004054 14299
"179" "CG4552" 11 0.782753824756606 3095
"180" "Iris" 6 0.363636363636364 1766
"181" "CG4577" 14 0.514577050122074 6463
"182" "CR45717" 11 0.538370720188902 347
"183" "MFS3" 9 0.473157221985513 4194
"184" "CG4749" 11 0.91114245416079 1627
"185" "Tfb4" 11 0.487875288683603 1232
"186" "Vps29" 17 0.453938584779706 998
"187" "capt" 18 0.413890457368718 6584
"188" "CR43767" 18 0.510555121188428 779
"189" "Tango14" 11 0.314715881495872 1559
"190" "CG5080" 4 0.25 3596
"191" "IntS14" 11 0.489121676067687 1982
"192" "CG14341" 17 0.726970954356846 705
"193" "Plap" 5 0.417275927430273 3193
"194" "CG31922" 17 0.679602888086643 608
"195" "CG5118" 17 0.621473354231975 2052
"196" "CG4887" 5 0.370209403397866 4580
"197" "CG4896" 5 0.417374517374517 4764
"198" "CG5126" 5 0.522717049032839 1723
"199" "Tgt" 17 0.398499765588373 1633
"200" "CG5001" 14 0.27861041323746 11050
"201" "CG5139" 9 0.571867794004612 801
"202" "CG43348" 2 0.616600790513834 512
"203" "CG43349" 2 1 458
"204" "CG5011" 2 0.668255481410868 549
"205" "CG14342" 16 0.804560260586319 1035
"206" "CR45346" 13 1 644
"207" "CR43263" 15 0.774982529699511 931
"208" "CG42329" 9 0.338105104539461 10509
"209" "CG5397" 8 0.249282021826536 2982
"210" "robo3" 8 0.36033334152757 40179
"211" "a5" 2 0.578078078078078 832
"212" "CG5440" 13 0.872216330858961 1386
"213" "CG33923" 7 0.520325203252033 730
"214" "CG33922" 2 0.560260586319218 728
"215" "Cdlc2" 2 1 735
"216" "CR45005" 2 0.66626936829559 339
"217" "CR45006" 8 1 366
"218" "CG5556" 13 0.542682926829268 1140
"219" "CG5561" 3 0.433190970103722 1139
"220" "CG31924" 9 0.348254931714719 818
"221" "CG5565" 2 0.553866490416391 1013
"222" "CG31659" 13 0.475457875457875 865
"223" "NLaz" 1 0.281400966183575 1984
"224" "CG14346" 13 0.404761904761905 1054
"225" "CR44898" 2 0.452094090648308 1243
"226" "robo2" 13 0.509480242340994 40367
"227" "CR44897" 13 0.494964028776978 1585
"228" "CG43401" 13 1 685
"229" "snRNA:U3:22A" 16 1 210
"230" "CG43402" 8 0.653958944281525 1205
"231" "CG31928" 6 0.619186046511628 1564
"232" "CG33128" 3 0.774125132555673 1386
"233" "CG31926" 6 0.802936996684036 1611
"234" "CG31661" 3 0.614673913043478 1340
"235" "CG18131" 3 0.360346777233321 2153
"236" "CG7420" 4 0.35763358778626 2120
"237" "CR44064" 14 0.395973154362416 3374
"238" "CG18132" 9 1 683
